year,name,team
2021-22,Scottie Barnes,1
2021-22,Cade Cunningham,1
2021-22,Evan Mobley,1
2021-22,Franz Wagner,1
2021-22,Jalen Green,1
2021-22,Herbert Jones,2
2021-22,Josh Giddey,2
2021-22,Bones Hyland,2
2021-22,Ayo Dosunmu,2
2021-22,Chris Duarte,2
2020-21,LaMelo Ball,1
2020-21,Saddiq Bey,1
2020-21,Anthony Edwards,1
2020-21,Tyrese Haliburton,1
2020-21,Jae'Sean Tate,1
2020-21,Desmond Bane,2
2020-21,Isaac Okoro,2
2020-21,Immanuel Quickley,2
2020-21,Isaiah Stewart,2
2020-21,Patrick Williams,2
2019-20,Ja Morant,1
2019-20,Kendrick Nunn,1
2019-20,Brandon Clarke,1
2019-20,Zion Williamson,1
2019-20,Eric Paschall,1
2019-20,Tyler Herro,2
2019-20,Terence Davis,2
2019-20,Coby White,2
2019-20,P.J. Washington,2
2019-20,Rui Hachimura,2
2018-19,Luka Dončić,1
2018-19,Trae Young,1
2018-19,Deandre Ayton,1
2018-19,Jaren Jackson,1
2018-19,Marvin Bagley,1
2018-19,Shai Gilgeous-Alexander,2
2018-19,Collin Sexton,2
2018-19,Landry Shamet,2
2018-19,Mitchell Robinson,2
2018-19,Kevin Huerter,2
2017-18,Donovan Mitchell,1
2017-18,Ben Simmons,1
2017-18,Jayson Tatum,1
2017-18,Kyle Kuzma,1
2017-18,Lauri Markkanen,1
2017-18,Dennis Smith,2
2017-18,Lonzo Ball,2
2017-18,John Collins,2
2017-18,Bogdan Bogdanović,2
2017-18,Josh Jackson,2
2016-17,Malcolm Brogdon,1
2016-17,Dario Šarić,1
2016-17,Joel Embiid,1
2016-17,Buddy Hield,1
2016-17,Willy Hernangómez,1
2016-17,Jamal Murray,2
2016-17,Jaylen Brown,2
2016-17,Marquese Chriss,2
2016-17,Brandon Ingram,2
2016-17,Yogi Ferrell,2
2015-16,Karl-Anthony Towns,1
2015-16,Kristaps Porziņģis,1
2015-16,Devin Booker,1
2015-16,Nikola Jokić,1
2015-16,Jahlil Okafor,1
2015-16,Justise Winslow,2
2015-16,D'Angelo Russell,2
2015-16,Emmanuel Mudiay,2
2015-16,Myles Turner,2
2015-16,Willie Cauley-Stein,2
2014-15,Andrew Wiggins,1
2014-15,Nikola Mirotić,1
2014-15,Nerlens Noel,1
2014-15,Elfrid Payton,1
2014-15,Jordan Clarkson,1
2014-15,Marcus Smart,2
2014-15,Zach LaVine,2
2014-15,Bojan Bogdanović,2
2014-15,Jusuf Nurkić,2
2014-15,Langston Galloway,2
2013-14,Michael Carter-Williams,1
2013-14,Victor Oladipo,1
2013-14,Trey Burke,1
2013-14,Mason Plumlee,1
2013-14,Tim Hardaway,1
2013-14,Kelly Olynyk,2
2013-14,Giannis Antetokounmpo,2
2013-14,Gorgui Dieng,2
2013-14,Cody Zeller,2
2013-14,Steven Adams,2
2012-13,Harrison Barnes,1
2012-13,Bradley Beal,1
2012-13,Anthony Davis,1
2012-13,Damian Lillard,1
2012-13,Dion Waiters,1
2012-13,Andre Drummond,2
2012-13,Michael Kidd-Gilchrist,2
2012-13,Kyle Singler,2
2012-13,Jonas Valančiūnas,2
2012-13,Tyler Zeller,2
2011-12,Kenneth Faried,1
2011-12,Kyrie Irving,1
2011-12,Ricky Rubio,1
2011-12,Klay Thompson,1
2011-12,Brandon Knight,1
2011-12,Kawhi Leonard,1
2011-12,MarShon Brooks,2
2011-12,Chandler Parsons,2
2011-12,Isaiah Thomas,2
2011-12,Tristan Thompson,2
2011-12,Derrick Williams,2
2010-11,DeMarcus Cousins,1
2010-11,Landry Fields,1
2010-11,Blake Griffin,1
2010-11,Gary Neal,1
2010-11,John Wall,1
2010-11,Eric Bledsoe,2
2010-11,Derrick Favors,2
2010-11,Paul George,2
2010-11,Wesley Johnson,2
2010-11,Greg Monroe,2
